compound,media_name,negative,neutral,positive,tweet_text
-0.3612,BBC,0.719,0.19,0.092,Facebook takes out full-page newspaper ads to apologize for data privacy scandal https://t.co/ZKlVJVLeK6
-0.4767,BBC,0.78,0.22,0.0,RT @Ioonagay: bbc staff trying to film the heart attack mv https://t.co/55bdoS3NaX
-0.5106,BBC,0.87,0.13,0.0,"RT @OutragedMary: Every time the #BBC call the #Muslim #pedophile gangs ""Asian"" they insult every Japanese, Korean, Indian man in the UK
An…"
0.4939,BBC,0.476,0.167,0.357,"RT @BBC1XMusicBot: Now Playing Khalid, Normani - Love Lies @thegreatkhalid, #normani https://t.co/rJAFxnM3wC"
-0.34,BBC,0.882,0.118,0.0,"RT @CpmGray: #stopbrexit  #BBCBIAS  #bbcnews @guyverhofstadt
BBC's refusal to report thousands marching in UK yesterday scares me.
State co…"
0.0,BBC,1.0,0.0,0.0,"vi na internet um pequeno dicionário para xingar sem perder a erudição, feito pela BBC Brasil, agora me aguentem!"
0.0,BBC,1.0,0.0,0.0,"RT @bbcmundo: Thomas Phelan y Keith Young, los rescatistas murieron de cáncer (casi al mismo tiempo) a 16 años de los ataques del 11 de sep…"
-0.34,BBC,0.806,0.194,0.0,RT @niku1630: The US airline pilots trained to shoot hijackers https://t.co/t6JuRI7wU7
-0.4588,BBC,0.636,0.364,0.0,Vote Leave 'broke spending limits' in Brexit referendum https://t.co/iJ5PaJRU5D
-0.6249,BBC,0.83,0.17,0.0,"RT @BBCSport: England manager Gareth Southgate says the nation shouldn't ""keep pointing the finger at Russia about racism"" when ""there are…"
-0.3612,BBC,0.719,0.19,0.092,Facebook takes out full-page newspaper ads to apologize for data privacy scandal https://t.co/ZKlVJVLeK6
-0.4767,BBC,0.78,0.22,0.0,RT @Ioonagay: bbc staff trying to film the heart attack mv https://t.co/55bdoS3NaX
-0.5106,BBC,0.87,0.13,0.0,"RT @OutragedMary: Every time the #BBC call the #Muslim #pedophile gangs ""Asian"" they insult every Japanese, Korean, Indian man in the UK
An…"
0.4939,BBC,0.476,0.167,0.357,"RT @BBC1XMusicBot: Now Playing Khalid, Normani - Love Lies @thegreatkhalid, #normani https://t.co/rJAFxnM3wC"
-0.34,BBC,0.882,0.118,0.0,"RT @CpmGray: #stopbrexit  #BBCBIAS  #bbcnews @guyverhofstadt
BBC's refusal to report thousands marching in UK yesterday scares me.
State co…"
0.0,BBC,1.0,0.0,0.0,"vi na internet um pequeno dicionário para xingar sem perder a erudição, feito pela BBC Brasil, agora me aguentem!"
0.0,BBC,1.0,0.0,0.0,"RT @bbcmundo: Thomas Phelan y Keith Young, los rescatistas murieron de cáncer (casi al mismo tiempo) a 16 años de los ataques del 11 de sep…"
-0.34,BBC,0.806,0.194,0.0,RT @niku1630: The US airline pilots trained to shoot hijackers https://t.co/t6JuRI7wU7
-0.4588,BBC,0.636,0.364,0.0,Vote Leave 'broke spending limits' in Brexit referendum https://t.co/iJ5PaJRU5D
-0.6249,BBC,0.83,0.17,0.0,"RT @BBCSport: England manager Gareth Southgate says the nation shouldn't ""keep pointing the finger at Russia about racism"" when ""there are…"
-0.3612,BBC,0.719,0.19,0.092,Facebook takes out full-page newspaper ads to apologize for data privacy scandal https://t.co/ZKlVJVLeK6
-0.4767,BBC,0.78,0.22,0.0,RT @Ioonagay: bbc staff trying to film the heart attack mv https://t.co/55bdoS3NaX
-0.5106,BBC,0.87,0.13,0.0,"RT @OutragedMary: Every time the #BBC call the #Muslim #pedophile gangs ""Asian"" they insult every Japanese, Korean, Indian man in the UK
An…"
0.4939,BBC,0.476,0.167,0.357,"RT @BBC1XMusicBot: Now Playing Khalid, Normani - Love Lies @thegreatkhalid, #normani https://t.co/rJAFxnM3wC"
-0.34,BBC,0.882,0.118,0.0,"RT @CpmGray: #stopbrexit  #BBCBIAS  #bbcnews @guyverhofstadt
BBC's refusal to report thousands marching in UK yesterday scares me.
State co…"
0.0,BBC,1.0,0.0,0.0,"vi na internet um pequeno dicionário para xingar sem perder a erudição, feito pela BBC Brasil, agora me aguentem!"
0.0,BBC,1.0,0.0,0.0,"RT @bbcmundo: Thomas Phelan y Keith Young, los rescatistas murieron de cáncer (casi al mismo tiempo) a 16 años de los ataques del 11 de sep…"
-0.34,BBC,0.806,0.194,0.0,RT @niku1630: The US airline pilots trained to shoot hijackers https://t.co/t6JuRI7wU7
-0.4588,BBC,0.636,0.364,0.0,Vote Leave 'broke spending limits' in Brexit referendum https://t.co/iJ5PaJRU5D
-0.6249,BBC,0.83,0.17,0.0,"RT @BBCSport: England manager Gareth Southgate says the nation shouldn't ""keep pointing the finger at Russia about racism"" when ""there are…"
-0.3612,BBC,0.719,0.19,0.092,Facebook takes out full-page newspaper ads to apologize for data privacy scandal https://t.co/ZKlVJVLeK6
-0.4767,BBC,0.78,0.22,0.0,RT @Ioonagay: bbc staff trying to film the heart attack mv https://t.co/55bdoS3NaX
-0.5106,BBC,0.87,0.13,0.0,"RT @OutragedMary: Every time the #BBC call the #Muslim #pedophile gangs ""Asian"" they insult every Japanese, Korean, Indian man in the UK
An…"
0.4939,BBC,0.476,0.167,0.357,"RT @BBC1XMusicBot: Now Playing Khalid, Normani - Love Lies @thegreatkhalid, #normani https://t.co/rJAFxnM3wC"
-0.34,BBC,0.882,0.118,0.0,"RT @CpmGray: #stopbrexit  #BBCBIAS  #bbcnews @guyverhofstadt
BBC's refusal to report thousands marching in UK yesterday scares me.
State co…"
0.0,BBC,1.0,0.0,0.0,"vi na internet um pequeno dicionário para xingar sem perder a erudição, feito pela BBC Brasil, agora me aguentem!"
0.0,BBC,1.0,0.0,0.0,"RT @bbcmundo: Thomas Phelan y Keith Young, los rescatistas murieron de cáncer (casi al mismo tiempo) a 16 años de los ataques del 11 de sep…"
-0.34,BBC,0.806,0.194,0.0,RT @niku1630: The US airline pilots trained to shoot hijackers https://t.co/t6JuRI7wU7
-0.4588,BBC,0.636,0.364,0.0,Vote Leave 'broke spending limits' in Brexit referendum https://t.co/iJ5PaJRU5D
-0.6249,BBC,0.83,0.17,0.0,"RT @BBCSport: England manager Gareth Southgate says the nation shouldn't ""keep pointing the finger at Russia about racism"" when ""there are…"
